DOC4533 1:-1.98863 2:-1.77359 3:-1.28915 4:-1.07636 5:-1.12327 6:-1.54396 7:-1.30886 8:-1.02556 9:-1.01643 10:-1.7843 11:-1.24117 12:-1.42988 13:-1.53844 14:-1.44446 15:-1.53511 16:-1.24626
DOC4534 1:-1.88775 2:-1.90754 3:-1.03404 4:-0.972305 5:-1.20128 6:-1.55273 7:-1.39577 8:-1.26556 9:-1.08683 10:-1.66051 11:-1.36675 12:-1.32628 13:-1.46275 14:-1.32084 15:-1.80299 16:-1.24747
DOC4535 1:-1.85639 2:-1.91751 3:-0.961012 4:-0.971726 5:-1.06611 6:-1.57937 7:-1.31316 8:-1.18554 9:-0.993204 10:-1.5998 11:-1.07983 12:-1.33312 13:-1.38415 14:-1.36068 15:-1.61383 16:-1.20581
DOC4536 1:-1.90809 2:-1.8106 3:-0.904437 4:-0.990975 5:-1.06696 6:-1.46739 7:-1.36607 8:-1.03044 9:-1.2013 10:-1.70478 11:-1.22467 12:-1.32399 13:-1.44604 14:-1.40118 15:-1.64867 16:-1.07591
DOC4537 1:-1.93545 2:-1.96021 3:-1.0002 4:-1.18149 5:-1.06107 6:-1.34591 7:-1.36168 8:-1.38138 9:-0.980778 10:-1.77525 11:-0.931212 12:-1.38664 13:-1.40441 14:-1.2883 15:-1.90163 16:-1.14718
DOC4538 1:-1.83079 2:-1.76278 3:-1.13746 4:-0.996022 5:-0.980259 6:-1.48208 7:-1.27991 8:-1.09919 9:-1.08452 10:-1.81689 11:-0.981091 12:-1.14647 13:-1.36394 14:-1.26892 15:-1.45527 16:-1.15907
DOC4539 1:-1.91969 2:-1.70346 3:-1.20727 4:-1.1444 5:-1.18212 6:-1.59661 7:-1.22024 8:-1.23777 9:-1.16522 10:-1.57612 11:-1.02428 12:-1.23719 13:-1.55914 14:-1.35157 15:-1.66357 16:-1.1292
DOC4540 1:-2.15696 2:-1.87073 3:-1.10194 4:-0.894691 5:-1.02662 6:-1.59031 7:-1.14374 8:-1.23263 9:-1.25365 10:-1.70894 11:-1.24564 12:-1.27333 13:-1.07869 14:-1.35037 15:-1.8006 16:-1.19831
DOC4541 1:-2.2108 2:-1.89198 3:-1.12224 4:-1.01781 5:-1.04633 6:-1.63161 7:-1.33755 8:-1.1222 9:-0.900639 10:-1.74703 11:-1.1567 12:-1.29521 13:-1.32127 14:-1.6356 15:-1.85219 16:-1.38165
DOC4542 1:-1.97252 2:-1.91947 3:-1.20708 4:-1.01926 5:-0.964719 6:-1.45715 7:-1.13889 8:-1.15322 9:-1.09642 10:-1.66507 11:-0.973828 12:-1.30078 13:-1.43961 14:-1.28982 15:-1.75246 16:-1.21342
DOC4543 1:-2.16463 2:-1.84776 3:-1.21464 4:-0.951864 5:-1.16812 6:-1.54334 7:-1.17262 8:-1.30629 9:-1.09206 10:-1.6485 11:-1.18494 12:-1.29606 13:-1.33194 14:-1.4951 15:-1.62231 16:-1.17407
DOC4544 1:-1.91147 2:-1.92256 3:-0.937118 4:-0.949479 5:-1.27618 6:-1.49199 7:-1.18692 8:-1.1598 9:-0.85053 10:-1.7791 11:-0.857794 12:-1.37519 13:-1.62373 14:-1.42097 15:-1.63006 16:-1.22446
DOC4545 1:-1.96323 2:-1.69949 3:-1.1351 4:-1.11206 5:-0.808328 6:-1.59483 7:-1.26554 8:-1.2538 9:-1.29366 10:-1.792 11:-1.2403 12:-1.35115 13:-1.48287 14:-1.45019 15:-1.61455 16:-1.2042
DOC4546 1:-2.04147 2:-1.79847 3:-1.22231 4:-0.939826 5:-1.17067 6:-1.58327 7:-1.23174 8:-1.34594 9:-0.934177 10:-1.86953 11:-1.11514 12:-1.18219 13:-1.31294 14:-1.36941 15:-1.70467 16:-1.41757
DOC4547 1:-2.06302 2:-1.87767 3:-1.09069 4:-0.967257 5:-0.98409 6:-1.4448 7:-1.37579 8:-1.21023 9:-1.08045 10:-1.41806 11:-1.13814 12:-1.39282 13:-1.61735 14:-1.17476 15:-1.78159 16:-1.17247
DOC4548 1:-1.6458 2:-1.78157 3:-1.17592 4:-1.01175 5:-1.12519 6:-1.50192 7:-1.40725 8:-1.17408 9:-1.05987 10:-1.7989 11:-1.30968 12:-1.21576 13:-1.43212 14:-1.40409 15:-1.71216 16:-1.0995
DOC4549 1:-1.95605 2:-1.95493 3:-1.02307 4:-1.19281 5:-1.03165 6:-1.6363 7:-1.24549 8:-1.09257 9:-1.07494 10:-1.95725 11:-1.02603 12:-1.32567 13:-1.40747 14:-1.42246 15:-1.82184 16:-1.00183
DOC4550 1:-1.86755 2:-1.72155 3:-1.07273 4:-0.695939 5:-1.15592 6:-1.58525 7:-1.41283 8:-1.10828 9:-1.06997 10:-1.68873 11:-1.05968 12:-1.27036 13:-1.43905 14:-1.48743 15:-1.84889 16:-1.16658
DOC4551 1:-2.09075 2:-1.80773 3:-1.08131 4:-0.939384 5:-0.998966 6:-1.45886 7:-1.31549 8:-1.12214 9:-1.18026 10:-1.62718 11:-1.08777 12:-1.42741 13:-1.54714 14:-1.51347 15:-1.70959 16:-1.17647
DOC4552 1:-2.00209 2:-1.95973 3:-1.01217 4:-1.26135 5:-0.91591 6:-1.48259 7:-1.25461 8:-1.12027 9:-1.07886 10:-1.52168 11:-1.11781 12:-1.2937 13:-1.49302 14:-1.51486 15:-1.78065 16:-1.20117
DOC4553 1:-1.83704 2:-1.91058 3:-0.998762 4:-0.885996 5:-1.12488 6:-1.57508 7:-1.36427 8:-1.16251 9:-1.1176 10:-1.66839 11:-1.08926 12:-1.3186 13:-1.34646 14:-1.59381 15:-1.65037 16:-1.24032
DOC4554 1:-1.91236 2:-1.91363 3:-1.02344 4:-0.980238 5:-1.04304 6:-1.5532 7:-1.38478 8:-1.05829 9:-0.992796 10:-1.62665 11:-1.06943 12:-1.40919 13:-1.39154 14:-1.472 15:-1.62048 16:-1.22251
DOC4555 1:-1.96643 2:-2.03966 3:-1.02879 4:-1.25534 5:-1.11 6:-1.56284 7:-1.1528 8:-1.30672 9:-1.02449 10:-1.92916 11:-1.0719 12:-1.19801 13:-1.31214 14:-1.34087 15:-1.84777 16:-1.40894
DOC4556 1:-2.10323 2:-1.82699 3:-0.900118 4:-0.929073 5:-1.21628 6:-1.64052 7:-1.22972 8:-1.06374 9:-0.931469 10:-1.73772 11:-1.11739 12:-1.24344 13:-1.32186 14:-1.6864 15:-1.68959 16:-1.40058
DOC4557 1:-2.10993 2:-2.0241 3:-1.07871 4:-0.955519 5:-1.15916 6:-1.51904 7:-1.20926 8:-1.02184 9:-1.14587 10:-1.80373 11:-0.991276 12:-1.36571 13:-1.27588 14:-1.53978 15:-1.65926 16:-1.20034
DOC4558 1:-1.98926 2:-1.93728 3:-1.09337 4:-0.861578 5:-1.15961 6:-1.57376 7:-1.23481 8:-1.14248 9:-1.02971 10:-1.5307 11:-1.15727 12:-1.21356 13:-1.51943 14:-1.47882 15:-1.49947 16:-1.23421
DOC4559 1:-1.79204 2:-1.8168 3:-1.20388 4:-1.1356 5:-1.16225 6:-1.81339 7:-1.30898 8:-1.02331 9:-1.04622 10:-1.60938 11:-1.22438 12:-1.28807 13:-1.29845 14:-1.48325 15:-1.75937 16:-1.31796
DOC4560 1:-1.9585 2:-1.88703 3:-1.1064 4:-1.03349 5:-1.0837 6:-1.50411 7:-1.26822 8:-1.25469 9:-1.07223 10:-1.87598 11:-1.1716 12:-1.28576 13:-1.38322 14:-1.55288 15:-1.56848 16:-1.24444
DOC4561 1:-1.77596 2:-2.00544 3:-1.08471 4:-1.06046 5:-1.27337 6:-1.55536 7:-1.21224 8:-1.15641 9:-1.04165 10:-1.76371 11:-0.918509 12:-1.25564 13:-1.40724 14:-1.38652 15:-1.62075 16:-1.37625
DOC4562 1:-2.17965 2:-1.81522 3:-1.17313 4:-0.946112 5:-0.967904 6:-1.63152 7:-1.20615 8:-0.952803 9:-1.04352 10:-1.78244 11:-1.10814 12:-1.27439 13:-1.45938 14:-1.38102 15:-1.65199 16:-1.12733
DOC4563 1:-1.89552 2:-2.07401 3:-1.21997 4:-1.0989 5:-1.03538 6:-1.46341 7:-1.21784 8:-1.22081 9:-0.978178 10:-1.69763 11:-1.07125 12:-1.12363 13:-1.5607 14:-1.49184 15:-1.64587 16:-1.18233
DOC4564 1:-1.89441 2:-1.88822 3:-1.18608 4:-0.947501 5:-1.02295 6:-1.74232 7:-1.29961 8:-1.33832 9:-1.18943 10:-1.80569 11:-0.94668 12:-1.44357 13:-1.60887 14:-1.47003 15:-1.574 16:-1.25495
DOC4565 1:-1.94502 2:-1.81917 3:-1.23395 4:-1.01104 5:-1.14848 6:-1.46509 7:-1.27584 8:-1.12013 9:-0.855014 10:-1.70725 11:-1.08738 12:-1.2108 13:-1.35787 14:-1.38117 15:-1.63107 16:-1.23037
DOC4566 1:-1.78667 2:-1.92111 3:-1.20462 4:-0.886346 5:-1.12406 6:-1.61193 7:-1.19225 8:-1.22054 9:-1.16334 10:-1.79284 11:-1.13765 12:-1.16641 13:-1.40892 14:-1.22065 15:-1.59777 16:-1.01042
DOC4567 1:-1.9293 2:-1.89529 3:-1.12364 4:-1.1588 5:-1.21086 6:-1.47211 7:-1.40101 8:-1.2191 9:-1.34622 10:-1.76321 11:-1.17913 12:-1.24656 13:-1.43458 14:-1.49475 15:-1.62861 16:-1.33766
DOC4568 1:-2.00276 2:-1.87396 3:-1.11768 4:-0.988619 5:-1.33544 6:-1.67922 7:-1.21774 8:-1.17257 9:-1.24415 10:-1.52127 11:-1.12654 12:-1.3705 13:-1.35704 14:-1.5678 15:-1.70786 16:-1.22377
DOC4569 1:-2.00718 2:-1.84721 3:-1.30163 4:-1.05864 5:-1.06073 6:-1.57708 7:-1.19507 8:-1.21191 9:-0.937002 10:-1.80775 11:-1.23461 12:-1.27501 13:-1.33231 14:-1.4897 15:-1.48017 16:-1.25877
DOC4570 1:-1.94864 2:-1.95822 3:-1.24445 4:-0.898705 5:-1.21966 6:-1.73178 7:-1.3059 8:-1.04548 9:-1.21905 10:-1.81434 11:-1.20028 12:-1.34849 13:-1.50622 14:-1.28504 15:-1.67747 16:-1.22831
DOC4571 1:-1.86419 2:-1.83003 3:-1.21165 4:-1.14767 5:-1.11503 6:-1.55572 7:-1.26822 8:-1.29424 9:-1.13891 10:-1.6958 11:-1.08428 12:-1.33163 13:-1.355 14:-1.39412 15:-1.64085 16:-1.1303
DOC4572 1:-2.00369 2:-1.92768 3:-1.00018 4:-1.32659 5:-1.08878 6:-1.47947 7:-1.3804 8:-1.23663 9:-1.13513 10:-1.49998 11:-1.03343 12:-1.20097 13:-1.37514 14:-1.45003 15:-1.61744 16:-1.21452
DOC4573 1:-1.93422 2:-1.88061 3:-1.2129 4:-0.997832 5:-1.0893 6:-1.54685 7:-1.38204 8:-1.2149 9:-1.13746 10:-1.44927 11:-1.07502 12:-1.17887 13:-1.46746 14:-1.40866 15:-1.69429 16:-1.12946
DOC4574 1:-1.8848 2:-1.8903 3:-1.22771 4:-0.968826 5:-0.952055 6:-1.51517 7:-1.1634 8:-1.05309 9:-1.1034 10:-1.66446 11:-0.937484 12:-1.27008 13:-1.48238 14:-1.37266 15:-1.55692 16:-1.18811
DOC4575 1:-1.99114 2:-1.85345 3:-1.0993 4:-0.900338 5:-1.02702 6:-1.63745 7:-1.22277 8:-1.30089 9:-1.24432 10:-1.77221 11:-1.09644 12:-1.44074 13:-1.42712 14:-1.53142 15:-1.53906 16:-1.21771
DOC4576 1:-1.88012 2:-1.97374 3:-1.00585 4:-1.03522 5:-1.11238 6:-1.53351 7:-1.29456 8:-1.09018 9:-0.891943 10:-1.78702 11:-1.1558 12:-1.24407 13:-1.49967 14:-1.19289 15:-1.46398 16:-1.24003
DOC4577 1:-2.0031 2:-1.91856 3:-1.18613 4:-0.941958 5:-1.16528 6:-1.60382 7:-1.50366 8:-1.10748 9:-1.22317 10:-1.68045 11:-0.982782 12:-1.23125 13:-1.33759 14:-1.49085 15:-1.65993 16:-1.05765
DOC4578 1:-1.83223 2:-1.76005 3:-1.03763 4:-0.950223 5:-0.990481 6:-1.54574 7:-1.15546 8:-1.3153 9:-1.1534 10:-1.73543 11:-1.12139 12:-1.34436 13:-1.63073 14:-1.40967 15:-1.73904 16:-1.05599
DOC4579 1:-2.04386 2:-1.96347 3:-1.1765 4:-0.856951 5:-0.946641 6:-1.6263 7:-1.16195 8:-1.15283 9:-1.06376 10:-1.75162 11:-1.08317 12:-1.46118 13:-1.42311 14:-1.47523 15:-1.70588 16:-1.25839
DOC4580 1:-2.17838 2:-2.06203 3:-1.042 4:-1.10559 5:-1.31665 6:-1.48499 7:-1.21435 8:-1.01205 9:-1.11079 10:-1.56113 11:-1.24484 12:-1.44153 13:-1.45014 14:-1.4356 15:-1.79449 16:-1.19724
DOC4581 1:-2.03675 2:-1.81834 3:-1.07364 4:-0.849533 5:-1.0694 6:-1.53288 7:-1.25953 8:-1.07467 9:-0.99948 10:-1.5448 11:-1.00807 12:-1.2277 13:-1.52886 14:-1.39708 15:-1.74295 16:-1.09418
DOC4582 1:-1.9339 2:-1.95841 3:-1.0691 4:-1.05525 5:-1.02247 6:-1.73646 7:-1.31562 8:-1.12946 9:-0.965774 10:-1.75914 11:-1.04201 12:-1.33916 13:-1.54616 14:-1.25638 15:-1.81268 16:-1.2074
DOC4583 1:-1.94722 2:-1.7296 3:-1.29742 4:-1.11165 5:-1.18496 6:-1.49259 7:-1.12144 8:-1.21512 9:-1.01172 10:-1.7369 11:-1.14002 12:-1.37404 13:-1.29352 14:-1.52478 15:-1.75076 16:-1.21086
DOC4584 1:-1.93497 2:-1.87596 3:-0.996865 4:-0.893965 5:-1.11474 6:-1.53861 7:-1.16811 8:-1.08974 9:-1.11088 10:-1.60296 11:-1.14874 12:-1.41537 13:-1.59449 14:-1.45233 15:-1.69771 16:-1.12679
DOC4585 1:-2.03824 2:-1.86159 3:-1.15335 4:-1.07921 5:-1.0397 6:-1.44481 7:-1.31407 8:-1.17465 9:-1.20356 10:-1.81028 11:-1.19812 12:-0.969451 13:-1.45191 14:-1.2229 15:-1.56376 16:-1.14913
DOC4586 1:-2.02128 2:-1.80224 3:-1.16905 4:-1.08616 5:-1.2494 6:-1.64891 7:-1.27913 8:-1.01852 9:-1.03752 10:-1.65983 11:-1.01663 12:-1.23716 13:-1.42121 14:-1.34638 15:-1.71826 16:-1.22841
DOC4587 1:-2.0241 2:-1.88098 3:-1.31552 4:-0.925396 5:-1.12034 6:-1.6883 7:-1.37707 8:-0.97135 9:-1.17342 10:-1.79538 11:-1.02205 12:-1.11487 13:-1.40072 14:-1.43226 15:-1.72032 16:-1.22303
DOC4588 1:-2.06097 2:-1.84593 3:-1.2849 4:-1.07246 5:-1.00757 6:-1.52776 7:-1.29079 8:-1.03188 9:-1.05173 10:-1.67414 11:-1.28081 12:-1.36137 13:-1.3568 14:-1.56607 15:-1.57079 16:-1.05412
DOC4589 1:-1.90464 2:-1.75404 3:-1.19195 4:-1.04533 5:-1.10268 6:-1.4503 7:-1.26604 8:-1.07251 9:-0.930485 10:-1.74202 11:-1.07901 12:-1.3102 13:-1.32457 14:-1.4123 15:-1.53307 16:-1.23518
DOC4590 1:-1.8807 2:-1.93061 3:-1.09709 4:-0.869499 5:-1.18003 6:-1.54124 7:-1.26159 8:-1.07436 9:-1.14618 10:-1.93059 11:-1.02534 12:-1.29393 13:-1.32308 14:-1.56327 15:-1.74317 16:-1.27278
DOC4591 1:-1.99191 2:-1.76964 3:-1.03548 4:-1.01869 5:-0.985502 6:-1.53049 7:-1.41603 8:-1.15409 9:-1.19171 10:-1.57583 11:-0.978475 12:-1.36355 13:-1.36042 14:-1.60156 15:-1.66331 16:-1.1814
DOC4592 1:-2.02936 2:-2.03206 3:-1.07279 4:-0.914464 5:-1.21897 6:-1.54064 7:-1.23614 8:-1.1959 9:-1.13273 10:-1.61345 11:-1.143 12:-1.02823 13:-1.59935 14:-1.66401 15:-1.54932 16:-1.18115
DOC4593 1:-2.06353 2:-1.98787 3:-1.15857 4:-0.890451 5:-1.04372 6:-1.59954 7:-1.26191 8:-1.23369 9:-1.09328 10:-1.80878 11:-1.00521 12:-1.33728 13:-1.4686 14:-1.36066 15:-1.59553 16:-1.33302
DOC4594 1:-1.95511 2:-1.99941 3:-1.14039 4:-0.823552 5:-1.12414 6:-1.59041 7:-1.40509 8:-1.03916 9:-1.08141 10:-1.69969 11:-1.20287 12:-1.39281 13:-1.4614 14:-1.4779 15:-1.67345 16:-1.12977
DOC4595 1:-2.19056 2:-1.80978 3:-1.10081 4:-0.96475 5:-1.20717 6:-1.42477 7:-1.48199 8:-1.13355 9:-1.00479 10:-1.60756 11:-1.18607 12:-1.40844 13:-1.7 14:-1.40565 15:-1.56291 16:-1.31467
DOC4596 1:-1.99252 2:-1.94908 3:-1.11955 4:-1.02768 5:-1.11965 6:-1.57771 7:-1.17199 8:-1.13048 9:-0.99779 10:-1.67666 11:-0.992735 12:-1.20585 13:-1.27642 14:-1.37829 15:-1.68275 16:-1.30075
DOC4597 1:-2.0588 2:-2.0625 3:-1.16894 4:-1.20922 5:-1.00804 6:-1.61264 7:-1.42663 8:-1.09933 9:-0.874217 10:-1.75179 11:-1.01109 12:-1.17325 13:-1.24268 14:-1.47445 15:-1.62454 16:-1.18414
DOC4598 1:-2.013 2:-1.81504 3:-1.17949 4:-0.963094 5:-1.08596 6:-1.59609 7:-1.26465 8:-1.12783 9:-1.02856 10:-1.6894 11:-1.00326 12:-1.15795 13:-1.63552 14:-1.39549 15:-1.7162 16:-1.26675
DOC4599 1:-1.85158 2:-2.0655 3:-1.36311 4:-1.14646 5:-1.1638 6:-1.63638 7:-1.35843 8:-1.00576 9:-1.07216 10:-1.83201 11:-1.06003 12:-1.4352 13:-1.52653 14:-1.47543 15:-1.73118 16:-1.3326
DOC4600 1:-1.97472 2:-2.08938 3:-1.03588 4:-1.09412 5:-1.24593 6:-1.6297 7:-1.45899 8:-1.13244 9:-1.20269 10:-1.60301 11:-1.12495 12:-1.27799 13:-1.52587 14:-1.60384 15:-1.64875 16:-1.23086
DOC4601 1:-2.15433 2:-2.02011 3:-1.08795 4:-1.0261 5:-0.994836 6:-1.61611 7:-1.4143 8:-1.33082 9:-1.18023 10:-1.70377 11:-1.28127 12:-1.24344 13:-1.48639 14:-1.48606 15:-1.75489 16:-1.33061
DOC4602 1:-1.90077 2:-1.913 3:-1.11297 4:-0.949933 5:-1.1631 6:-1.45872 7:-1.37022 8:-1.12123 9:-1.01516 10:-1.80214 11:-1.04272 12:-1.12713 13:-1.48468 14:-1.47147 15:-1.50635 16:-1.18008
DOC4603 1:-2.1775 2:-1.94034 3:-1.08505 4:-0.92254 5:-1.02796 6:-1.52971 7:-1.35176 8:-1.21601 9:-1.19532 10:-1.92411 11:-1.08882 12:-1.41549 13:-1.47131 14:-1.32082 15:-1.49744 16:-1.34411
DOC4604 1:-1.85699 2:-1.8094 3:-1.08961 4:-0.945163 5:-1.19556 6:-1.51923 7:-1.40361 8:-1.23171 9:-1.07603 10:-1.51059 11:-1.06002 12:-1.22461 13:-1.40208 14:-1.30894 15:-1.57588 16:-1.22031
DOC4605 1:-1.82226 2:-1.84028 3:-1.23847 4:-0.981467 5:-1.01931 6:-1.53167 7:-1.28029 8:-1.2568 9:-1.01377 10:-1.72707 11:-1.03151 12:-1.10717 13:-1.49165 14:-1.57777 15:-1.73981 16:-1.32492
DOC4606 1:-1.88936 2:-2.02262 3:-1.04935 4:-1.01027 5:-1.12052 6:-1.54352 7:-1.34139 8:-1.29268 9:-0.920812 10:-1.63817 11:-1.19787 12:-1.22993 13:-1.49514 14:-1.49135 15:-1.45949 16:-1.18649
DOC4607 1:-1.93505 2:-1.93779 3:-0.98433 4:-0.966181 5:-0.915153 6:-1.59599 7:-1.22198 8:-1.22886 9:-1.06327 10:-1.86465 11:-1.16531 12:-1.30749 13:-1.38432 14:-1.42217 15:-1.66203 16:-1.15917
DOC4608 1:-1.92665 2:-1.84983 3:-1.18206 4:-1.05581 5:-1.07126 6:-1.49541 7:-1.28544 8:-1.2142 9:-1.0218 10:-1.87082 11:-0.950961 12:-1.3223 13:-1.33354 14:-1.20958 15:-1.74122 16:-1.2823
DOC4609 1:-1.94445 2:-1.93063 3:-1.0163 4:-1.05844 5:-1.128 6:-1.54506 7:-1.30989 8:-1.15148 9:-0.964276 10:-1.59441 11:-1.15886 12:-1.15161 13:-1.58667 14:-1.44879 15:-1.68359 16:-1.19424
DOC4610 1:-1.94418 2:-1.98231 3:-1.06953 4:-1.07012 5:-1.0555 6:-1.46352 7:-1.33527 8:-1.28159 9:-0.97938 10:-1.53298 11:-1.02826 12:-1.26915 13:-1.28825 14:-1.46405 15:-1.44165 16:-1.3577
DOC4611 1:-1.99211 2:-1.81784 3:-1.10311 4:-1.10828 5:-1.11711 6:-1.79511 7:-1.2372 8:-1.29587 9:-1.0091 10:-1.77101 11:-1.31701 12:-1.06828 13:-1.545 14:-1.25318 15:-1.82708 16:-1.12442
DOC4612 1:-1.93352 2:-1.85416 3:-1.1563 4:-0.912171 5:-1.10771 6:-1.82498 7:-1.21389 8:-0.966645 9:-1.17639 10:-1.62332 11:-1.20155 12:-1.31422 13:-1.60507 14:-1.61826 15:-1.63395 16:-1.2882
DOC4613 1:-1.95093 2:-1.87882 3:-1.00314 4:-1.13716 5:-0.947116 6:-1.32796 7:-1.39787 8:-1.15023 9:-1.09789 10:-1.79353 11:-1.04151 12:-1.22442 13:-1.42941 14:-1.34533 15:-1.63304 16:-1.2657
DOC4614 1:-1.89167 2:-2.02924 3:-1.27735 4:-0.839841 5:-0.970017 6:-1.72047 7:-1.28827 8:-1.00564 9:-1.16625 10:-1.63116 11:-1.25566 12:-1.33121 13:-1.59642 14:-1.42203 15:-1.50088 16:-1.29723
DOC4615 1:-1.95488 2:-1.86694 3:-1.08507 4:-0.943009 5:-1.01553 6:-1.54002 7:-1.21708 8:-0.989054 9:-1.0592 10:-1.66261 11:-0.961458 12:-1.41363 13:-1.47992 14:-1.38631 15:-1.52716 16:-1.15565
DOC4616 1:-2.08098 2:-1.85126 3:-1.26301 4:-1.02204 5:-1.15918 6:-1.39928 7:-1.20563 8:-1.15923 9:-0.993297 10:-1.56164 11:-1.16838 12:-1.39108 13:-1.61476 14:-1.34462 15:-1.86115 16:-1.1096
DOC4617 1:-1.95157 2:-1.81029 3:-1.00614 4:-0.993274 5:-1.25569 6:-1.43497 7:-1.21512 8:-1.16331 9:-1.08684 10:-1.75097 11:-1.23068 12:-1.27507 13:-1.64239 14:-1.47443 15:-1.52543 16:-1.16739
DOC4618 1:-2.09199 2:-1.75987 3:-1.20383 4:-1.06992 5:-1.27351 6:-1.42315 7:-1.24918 8:-1.2051 9:-0.916755 10:-1.74587 11:-1.04978 12:-1.33391 13:-1.37947 14:-1.44954 15:-1.67737 16:-1.34494
DOC4619 1:-2.10637 2:-2.02131 3:-1.07 4:-0.946376 5:-1.11172 6:-1.4513 7:-1.13224 8:-1.14568 9:-1.01412 10:-1.74782 11:-1.06594 12:-1.18182 13:-1.57278 14:-1.30332 15:-1.53963 16:-1.25331
DOC4620 1:-2.05691 2:-1.8219 3:-1.12534 4:-0.792824 5:-1.21035 6:-1.60649 7:-1.11455 8:-1.14937 9:-1.11153 10:-1.60906 11:-1.15819 12:-1.29646 13:-1.41091 14:-1.4791 15:-1.51562 16:-0.974236
DOC4621 1:-1.9297 2:-1.74326 3:-1.34425 4:-1.0197 5:-0.858842 6:-1.63622 7:-1.22762 8:-1.27971 9:-0.956174 10:-1.65831 11:-1.12569 12:-1.34273 13:-1.33167 14:-1.37718 15:-1.71631 16:-1.13927
DOC4622 1:-2.1776 2:-1.84389 3:-1.13646 4:-0.820126 5:-1.26724 6:-1.57772 7:-1.27709 8:-1.09231 9:-1.17443 10:-1.66573 11:-1.09947 12:-1.29081 13:-1.5315 14:-1.39011 15:-1.57375 16:-1.11704
DOC4623 1:-1.95609 2:-1.87876 3:-1.21206 4:-1.06162 5:-1.09508 6:-1.45648 7:-1.03574 8:-1.07247 9:-1.13569 10:-1.83009 11:-1.03068 12:-1.21937 13:-1.48288 14:-1.48254 15:-1.60489 16:-1.22049
DOC4624 1:-2.10577 2:-1.86149 3:-1.08673 4:-1.07036 5:-1.09899 6:-1.65678 7:-1.04873 8:-0.988034 9:-0.942267 10:-1.73179 11:-1.15818 12:-0.98809 13:-1.49326 14:-1.52385 15:-1.65739 16:-1.45387
DOC4625 1:-2.09119 2:-1.83346 3:-1.05803 4:-1.05072 5:-1.04835 6:-1.58333 7:-1.29431 8:-1.0201 9:-0.987964 10:-1.75894 11:-1.0771 12:-1.29068 13:-1.25834 14:-1.32972 15:-1.5454 16:-1.19683
DOC4626 1:-1.98994 2:-1.82548 3:-1.35775 4:-0.853065 5:-1.10316 6:-1.6019 7:-1.22635 8:-1.3124 9:-1.12173 10:-1.62652 11:-1.26544 12:-1.2712 13:-1.2993 14:-1.36724 15:-1.56724 16:-1.10016
DOC4627 1:-1.87549 2:-2.00486 3:-1.06295 4:-1.08043 5:-1.10217 6:-1.46401 7:-1.25354 8:-1.01787 9:-0.958694 10:-1.70081 11:-1.15085 12:-1.35451 13:-1.63642 14:-1.3071 15:-1.67751 16:-1.34599
DOC4628 1:-1.87881 2:-2.01293 3:-1.16439 4:-0.955201 5:-1.09877 6:-1.40326 7:-1.12898 8:-0.986729 9:-1.15685 10:-1.74112 11:-1.0999 12:-1.3941 13:-1.36478 14:-1.25322 15:-1.74873 16:-1.13035
DOC4629 1:-1.95554 2:-2.04482 3:-1.20167 4:-0.903289 5:-1.05509 6:-1.43844 7:-1.21888 8:-1.41064 9:-1.08546 10:-1.82131 11:-1.22028 12:-1.34373 13:-1.50455 14:-1.5151 15:-1.7861 16:-1.2339
DOC4630 1:-1.87676 2:-1.89808 3:-0.938708 4:-1.0682 5:-1.03794 6:-1.71204 7:-1.25074 8:-1.01161 9:-0.966675 10:-1.56924 11:-1.10923 12:-1.36706 13:-1.38603 14:-1.43532 15:-1.79352 16:-1.24883
DOC4631 1:-1.97586 2:-1.79123 3:-1.10404 4:-1.08181 5:-0.963725 6:-1.39083 7:-1.46444 8:-1.077 9:-1.10101 10:-1.68298 11:-0.981718 12:-1.4037 13:-1.5643 14:-1.60326 15:-1.74416 16:-1.17584
DOC4632 1:-2.02591 2:-1.81394 3:-1.12143 4:-1.02745 5:-1.00938 6:-1.57802 7:-1.39508 8:-1.15154 9:-1.06636 10:-1.56816 11:-1.16656 12:-1.35926 13:-1.37192 14:-1.36542 15:-1.64023 16:-1.08785
DOC4633 1:-2.10861 2:-1.83868 3:-1.01629 4:-0.89933 5:-1.10125 6:-1.48028 7:-1.28678 8:-1.25549 9:-1.07425 10:-1.65948 11:-1.0649 12:-1.36538 13:-1.46069 14:-1.50566 15:-1.69415 16:-1.31487
DOC4634 1:-1.84388 2:-1.9826 3:-1.18401 4:-0.896356 5:-1.11094 6:-1.80629 7:-1.39199 8:-1.19294 9:-1.09834 10:-1.63633 11:-1.17774 12:-1.27844 13:-1.37591 14:-1.33035 15:-1.59392 16:-1.27664
DOC4635 1:-2.09818 2:-1.91472 3:-1.22875 4:-0.965806 5:-1.1865 6:-1.54739 7:-1.27746 8:-1.3064 9:-1.02491 10:-1.66619 11:-1.17638 12:-1.29796 13:-1.57768 14:-1.36425 15:-1.76776 16:-1.26749
DOC4636 1:-2.07906 2:-1.80146 3:-1.11891 4:-1.14724 5:-1.08313 6:-1.5117 7:-1.13961 8:-1.27761 9:-1.19922 10:-1.66143 11:-1.07372 12:-1.17692 13:-1.47758 14:-1.52972 15:-1.50403 16:-1.21028
